PetType,Breed,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,target,AgeYears
Cat,Siamese,White,Large,7.4895732018583105,0,0,70,476,0,0,14.33
Bird,Parakeet,White,Medium,23.9030914383044,1,0,85,437,0,0,12.33
Dog,Poodle,Gray,Large,26.03947042113125,1,0,52,451,0,0,7.75
Cat,Persian,White,Large,17.110226973818868,0,0,6,298,0,0,8.83
Cat,Siamese,White,Medium,10.598766480498687,1,0,27,10,0,1,7.42
Rabbit,Rabbit,White,Large,14.986448395890092,1,0,55,449,0,0,11.42
Dog,Poodle,Gray,Medium,26.171032618061805,1,0,41,465,0,1,1.75
Cat,Persian,Brown,Large,16.52848354005167,1,0,30,192,1,1,0.83
Rabbit,Rabbit,Brown,Large,11.7123437691983,1,0,22,388,0,0,10.0
Rabbit,Rabbit,Black,Small,16.734688123531825,1,0,73,251,1,1,1.33
Dog,Labrador,Brown,Medium,21.85073194874376,1,0,85,203,0,1,3.25
Dog,Labrador,Orange,Small,22.15599092862054,1,0,19,250,1,1,13.83
Dog,Labrador,Orange,Large,21.53028655645985,1,0,82,390,0,1,8.33
Cat,Siamese,Black,Medium,21.31319109730638,0,0,17,261,0,0,11.83
Bird,Parakeet,Brown,Medium,1.9663727837457448,1,0,42,251,1,0,12.92
Dog,Golden Retriever,Gray,Small,12.196876476287043,0,0,10,443,1,0,0.17
Rabbit,Rabbit,White,Large,9.507110173432595,1,1,33,117,0,0,8.42
Cat,Siamese,Orange,Medium,22.173775445516323,0,1,7,233,0,0,13.25
Bird,Parakeet,Brown,Large,17.121448495155292,0,1,7,472,0,0,1.75
Cat,Persian,Black,Medium,11.411022274298649,1,0,2,181,0,1,7.08
Bird,Parakeet,Gray,Large,27.521258460259624,1,1,61,96,1,0,8.17
Rabbit,Rabbit,Black,Small,11.91065197247454,1,0,64,417,0,0,12.67
Dog,Labrador,Black,Small,27.36281374400521,1,0,44,351,0,1,1.83
Cat,Siamese,Black,Large,29.53944763096088,1,0,15,361,0,0,14.17
Rabbit,Rabbit,Brown,Small,9.171957777768714,0,0,38,52,0,0,10.33
Bird,Parakeet,Brown,Small,4.346685820117836,1,0,64,412,0,1,1.75
Dog,Poodle,Orange,Small,13.063698631282008,0,0,75,335,0,1,6.75
Cat,Persian,Orange,Small,10.133609795644023,1,0,22,457,1,1,0.92
Dog,Poodle,Brown,Large,22.169803514703947,0,0,19,295,1,0,4.83
Rabbit,Rabbit,Orange,Small,26.926208739587377,1,0,73,55,0,0,14.08
Dog,Labrador,White,Small,20.49619692288141,1,0,7,140,0,1,14.0
Dog,Golden Retriever,Black,Medium,15.08329128693164,1,0,74,419,0,1,5.67
Bird,Parakeet,Orange,Medium,20.736438399460734,0,0,57,231,1,0,13.08
Bird,Parakeet,Brown,Small,15.588268679153622,1,0,38,316,0,0,5.08
Cat,Persian,Orange,Medium,21.042070231561684,1,0,7,289,0,1,6.5
Cat,Persian,Brown,Small,6.452455798692379,0,1,65,414,0,0,13.5
Dog,Golden Retriever,White,Small,3.399410801125075,0,0,73,49,1,0,0.42
Cat,Persian,Orange,Small,24.3698734546878,1,0,9,7,0,0,7.58
Cat,Persian,Orange,Medium,20.269069055704527,0,0,77,302,1,0,9.0
Cat,Persian,White,Medium,3.0241850619477426,0,0,46,429,0,0,12.83
Dog,Golden Retriever,White,Small,17.285946468040336,1,0,62,462,0,0,4.0
Cat,Persian,White,Large,9.667032474819164,1,0,44,68,1,0,5.42
Dog,Labrador,Black,Large,13.90809324782183,0,0,12,30,0,1,14.75
Dog,Labrador,Gray,Large,27.7718926408712,1,0,62,254,0,1,2.58
Rabbit,Rabbit,White,Large,11.109471613842524,1,1,75,446,0,0,13.25
Cat,Persian,Black,Large,6.596536230231829,0,1,82,55,1,0,8.92
Bird,Parakeet,Orange,Medium,21.932212224945825,1,0,89,72,0,1,2.83
Dog,Labrador,Black,Medium,27.902561703486057,1,0,24,459,0,1,9.5
Bird,Parakeet,Black,Medium,21.108075117830808,1,0,72,178,0,1,5.83
Dog,Labrador,Gray,Medium,21.494838734292244,1,0,69,126,0,1,13.0
Rabbit,Rabbit,Brown,Large,15.487427437902053,0,0,15,105,0,0,13.5
Rabbit,Rabbit,White,Medium,20.963637430571342,0,0,88,165,1,0,5.42
